PI,AA,AB,AG,LA,LB,LC,NR,GY,IP,AL,AR,SU,BA,AC,AH,TRI,TRII,DG,KD,CC,CP,CA,PP,PA,AA,NC,NA,HB
2Z54,90,90,120,62.254,62.254,82.15,99,0.179,8.77,47.47,5.05,4.04,11.11,17.17,9.09,51.52,48.48,-13.4,1.40E-10,5,6,12,11,46,80,24.32,48.65,162
2ZEX,62.03,84.88,85.95,32.466,48.829,49.356,147,-0.303,4.47,38.78,11.56,2.04,8.84,23.13,10.88,37.41,62.59,-6.8,1.00E-05,1,2,3,2,4,1,20.81,38.46,233
2ZG6,90,90,120,104.79,104.79,70.26,220,-0.308,5.49,38.18,13.64,1.82,16.36,21.36,4.09,47.73,52.27,-10.2,3.40E-08,19,0,38,0,6,72,42.36,36.81,329
2ZGM,90,102.14,90,40.09,58.82,57.91,167,-0.029,5.41,40.12,8.98,1.2,8.98,22.16,16.17,40.72,59.28,-10,4.70E-08,2,6,9,5,20,31,17.51,43.78,279
2ZGO,101.88,98.72,117.24,40.66,42.85,55.97,167,-0.031,5.07,40.12,8.98,1.2,8.38,22.75,16.17,41.32,58.68,-13.9,6.90E-11,23,6,17,7,24,37,17.39,40.87,306
2ZGP,90,109.28,90,53.05,66.54,57.72,167,-0.059,5.41,40.12,8.98,1.2,8.98,22.16,16.17,40.12,59.88,-9.8,6.90E-08,2,7,13,7,18,26,17.43,42.66,272
2ZGQ,69.83,82.44,61.8,41.35,43.43,56.42,167,-0.041,5.41,40.12,8.98,1.2,8.98,22.16,16.17,40.12,59.88,-14.3,3.30E-11,24,5,16,5,24,37,17.32,40.69,305
2ZGS,90,109.09,90,53.25,65.93,57.95,167,-0.041,5.41,40.12,8.98,1.2,8.98,22.16,16.17,40.12,59.88,-10.8,1.30E-08,2,6,12,4,21,32,17.59,43.52,278
2ZGT,90,90,120,42.75,42.75,127.91,167,-0.049,5.41,40.72,8.38,1.2,8.98,22.16,16.17,40.72,59.28,-10,4.40E-08,5,4,9,6,21,40,17.59,45.23,217
2ZGU,90,90,120,42.17,42.17,135.12,167,-0.059,5.41,40.12,8.98,1.2,8.98,22.16,16.17,40.12,59.88,-10.1,4.00E-08,2,5,9,8,22,32,18.01,42.18,239
2ZJZ,90,90,90,101.38,164.07,53.41,356,-0.318,5.53,34.55,9.83,5.34,14.89,23.03,10.67,46.63,53.37,-7.7,2.40E-06,10,8,16,1,2,18,35.41,33.18,575
2ZMF,90,90,120,74.506,74.506,146.524,189,-0.151,6.66,35.98,9.52,5.29,14.29,21.16,11.64,44.97,55.03,-7,7.50E-06,3,8,17,8,10,47,30.18,40,298
2ZO9,90,90,90,164.159,164.159,164.159,274,-0.262,5.46,35.4,9.12,5.11,11.68,20.8,11.31,47.45,52.55,-17.2,2.30E-13,7,14,47,26,52,94,25.07,39.1,462
2ZOG,90,118.52,90,54.417,199.779,55.495,479,-0.299,5.38,37.58,8.77,4.38,13.78,20.46,10.02,46.14,53.86,-25.3,2.70E-19,26,56,95,13,53,89,34.62,38.97,850
2ZSG,90,92.44,90,116.972,77.923,77.553,359,-0.102,4.66,40.67,7.24,2.51,13.93,21.73,11.98,50.97,49.03,-11.3,5.60E-09,24,19,30,1,12,14,39.87,37.37,698
2ZU1,90,91.19,90,39.01,64.69,68.66,183,-0.232,7.82,39.34,9.29,4.37,13.11,20.22,9.29,43.72,56.28,-8.7,4.40E-07,2,4,9,0,16,38,32.48,40.17,297
2ZU2,90,90.96,90,53.47,76.81,76.67,302,0.059,6.84,40.73,10.93,5.96,9.93,19.21,11.59,45.7,54.3,-13.7,9.50E-11,8,8,34,12,30,46,19.77,43.68,536
3A1D,90,90,90,89.956,89.956,190.375,287,-0.068,5.46,49.13,1.39,1.74,16.38,21.25,7.67,48.43,51.57,-7.9,1.60E-06,20,12,30,1,3,4,41.27,41.27,488
3A1E,90,90,90,90.526,90.526,191.218,287,-0.069,5.31,49.13,1.39,1.74,16.03,21.6,7.67,48.78,51.22,-7.9,1.60E-06,21,11,30,1,3,4,41.25,41.78,469
3A2L,90,97.39,90,125.547,48.652,106.816,309,-0.076,6.97,41.75,9.71,2.59,14.89,14.89,8.09,44.34,55.66,-5.8,6.00E-05,6,2,15,1,5,45,31.18,47.58,566
3A2M,90,97.36,90,125.577,48.866,106.58,312,-0.038,6.13,42.31,9.62,2.56,13.14,16.03,8.33,45.51,54.49,-5.9,4.40E-05,5,2,17,1,5,45,32.29,46.35,596
3A3I,90,107.66,90,64.449,92.343,104.409,453,-0.165,9.71,40.18,8.83,2.65,11.92,22.08,9.93,42.6,57.4,-13.9,6.50E-11,22,14,26,18,33,49,25.82,38.16,780
3A52,90,101.62,90,64.059,95.863,71.058,400,-0.157,4.78,40.25,7.25,3.75,9.5,21.5,14.75,41,59,-19.3,7.30E-15,13,19,27,15,56,55,27.56,35.07,795
3A6S,90,99.03,90,33.902,71.608,55.797,129,-0.475,4.72,35.66,10.08,3.1,13.95,25.58,4.65,51.94,48.06,-7.9,1.50E-06,13,2,22,0,2,34,38.8,34.97,201
3A9L,90,90,120,86.809,86.809,85.116,216,-0.443,5.93,35.65,8.8,2.78,13.43,23.15,13.43,42.59,57.41,-11.5,3.50E-09,8,4,20,2,16,15,30.77,32.97,432
3AC9,90,121.59,90,113.24,40.442,99.418,195,-0.335,4.67,37.44,6.15,4.1,13.33,21.54,11.28,48.72,51.28,-27.1,1.40E-20,20,8,86,5,59,107,36.46,36.1,330
3ACA,90,121.64,90,113.636,40.701,99.791,196,-0.336,4.67,37.76,6.12,4.08,13.27,21.43,11.22,48.47,51.53,-26.3,5.10E-20,19,9,82,5,58,106,36.56,36.2,336
3ALY,89.72,89.71,86.76,40.975,41.018,43.534,143,-0.18,9.73,40.56,8.39,4.2,16.08,18.88,7.69,52.45,47.55,-11.9,1.80E-09,11,2,42,0,14,13,37.69,38.69,245
3AMI,90,107.91,90,50.405,139.757,63.714,445,-0.405,6.64,39.55,7.42,2.92,15.06,20.67,9.89,47.19,52.81,-7.9,1.60E-06,9,15,24,14,15,16,32.96,39.58,768
3B12,90,90,90,53.497,85.065,136.354,304,-0.206,5.88,38.16,11.84,4.93,13.49,17.76,8.22,46.05,53.95,-8.3,8.20E-07,6,11,24,0,12,30,32.65,47.23,602
3B3X,90,93.96,90,46.665,104.71,63.884,265,-0.557,4.9,36.23,6.04,1.51,14.72,24.53,12.83,42.26,57.74,-5.8,5.50E-05,7,8,7,11,11,5,41.72,32.54,502
3B4R,90,90,120,124.42,124.42,136.72,224,0.99,10.05,52.68,10.71,4.02,10.27,11.16,8.04,54.46,45.54,-4.5,4.90E-04,0,3,4,1,13,60,16.22,66.08,402
3B9G,90,98.07,90,54.177,74.881,72.424,328,-0.078,4.85,37.5,8.54,6.71,10.98,21.34,9.76,44.51,55.49,-9.9,5.90E-08,2,12,11,3,20,28,32.71,36.46,599
3BBJ,90,90,90,99.818,103.654,54.734,272,-0.203,6.09,38.97,7.35,2.57,12.5,16.18,14.34,45.22,54.78,-13.3,1.70E-10,19,43,39,11,28,50,28.33,46.11,468
3BCM,90,118.02,90,48.513,59.508,49.738,124,-0.644,8.87,23.39,5.65,12.1,17.74,18.55,19.35,39.52,60.48,-8.2,9.90E-07,1,4,4,4,8,3,28.57,28.57,197
3BDF,90,105.8,90,55.503,103.634,88.55,458,-0.397,6.2,41.27,4.8,2.62,12.66,20.74,13.32,36.46,63.54,-20.3,1.30E-15,18,42,47,26,64,105,30.08,39.24,987
3BDH,90,105.76,90,55.449,103.545,88.489,458,-0.408,6.2,41.05,4.8,2.62,12.66,20.74,13.54,36.24,63.76,-23.8,3.30E-18,24,49,64,35,76,108,31.91,36.19,886
3BEU,90,90,90,41.786,72.433,122.492,224,-0.079,8.35,41.52,8.48,4.46,9.38,16.52,16.96,40.18,59.82,-4.8,2.90E-04,1,3,3,25,13,6,22.44,34.65,387
3BL7,118.81,92.39,99.99,49.257,56.271,60.334,301,-0.426,6.63,36.21,8.64,1,15.95,23.59,8.97,52.82,47.18,-27.4,8.30E-21,49,36,85,14,53,113,30.86,35.96,503
3BM4,90,121.74,90,113.394,41.168,99.648,210,-0.437,4.57,35.71,5.71,4.29,12.86,22.86,12.38,48.1,51.9,-25.9,1.10E-19,23,7,81,4,55,110,35.89,37.98,326
3BOS,90,90,90,55.037,64.032,153.64,242,-0.098,6.51,40.91,7.02,4.55,14.05,18.6,9.5,50,50,-14.6,2.00E-11,14,11,29,7,36,54,30.77,43.49,406
3BSF,90,90,120,79.349,79.349,138.152,254,0.18,4.64,42.13,5.91,4.72,10.24,18.5,12.99,45.28,54.72,-11,7.90E-09,15,18,35,3,15,68,29.67,45.7,439
3BVQ,90,90,90,74.893,74.893,274.11,383,-0.259,6.32,36.29,10.18,2.87,13.05,17.75,13.32,41.78,58.22,-20.3,1.20E-15,15,24,50,7,50,104,27.41,44.02,478
3BWV,71.93,75.08,83.62,39.31,40.27,55.31,180,-0.342,5.56,33.33,11.11,5,16.11,24.44,6.11,48.33,51.67,-7.5,3.10E-06,5,4,9,0,8,39,33.33,37.55,280
3BXP,90,107.47,90,53.595,94.222,58.758,277,-0.066,6.85,41.88,9.75,2.89,10.11,18.41,11.91,46.21,53.79,-10.8,1.30E-08,4,2,18,2,15,37,16.48,43.3,511
3BXW,90,90,120,100.11,100.11,249.97,393,-0.255,8.94,36.39,10.43,2.8,16.54,17.81,11.96,48.35,51.65,-10.3,3.00E-08,7,11,16,4,16,11,33.47,33.05,630
3C17,90,90,120,149.47,149.47,214.35,320,0.103,4.56,48.75,5,5.31,9.38,17.81,10.63,44.69,55.31,-9.4,1.40E-07,11,2,36,0,4,74,28.93,43.54,623
3C87,90,90,90,47.305,113.245,151.123,403,-0.373,6.09,35.98,10.42,3.23,12.16,20.6,10.67,50.87,49.13,-12.8,4.30E-10,12,15,15,1,25,9,27.16,40.29,691
3C9F,90,90,90,103.946,106.74,150.656,557,-0.398,6.7,31.24,12.57,1.26,15.08,21.18,13.82,42.01,57.99,-13.2,2.20E-10,15,9,28,3,18,17,29.77,34.16,1103
3CB2,90,96.33,90,51.744,108.755,83.347,475,-0.396,6,33.89,8,3.58,13.68,23.16,13.26,48.84,51.16,-12.2,1.20E-09,7,6,24,5,21,41,32.13,33.03,804
3CJP,90,96.09,90,47.628,77.273,72.661,272,-0.032,6.8,38.97,6.62,4.04,13.97,20.22,11.76,44.85,55.15,-10.7,1.50E-08,8,5,20,5,19,40,29.01,39.44,531
3CP7,90,90,120,92.26,92.26,137.88,218,-0.445,4.62,34.86,13.3,3.21,5.5,21.56,16.06,31.19,68.81,-11.6,3.20E-09,6,10,7,12,29,19,11.43,44.29,403
3CQB,90,90,120,75.873,75.873,65.471,107,-0.089,4.75,42.99,2.8,6.54,10.28,20.56,14.95,43.93,56.07,-7,6.80E-06,4,5,10,3,7,4,22.5,43.75,179
3CRC,90,90,90,63.23,66.91,140.7,265,-0.503,4.39,35.47,7.55,4.15,13.96,29.06,7.17,54.72,45.28,-24.4,1.40E-18,40,18,70,14,57,204,41.54,36.5,441
3CT9,90,94.28,90,51.34,67.25,107.89,356,-0.194,5.49,37.64,7.3,4.21,12.64,20.22,12.64,45.79,54.21,-12.7,5.00E-10,10,9,27,11,30,36,30.58,39.24,570
3CYW,90,90,90,58.16,86.25,45.92,99,0.252,10.21,49.49,5.05,2.02,12.12,16.16,9.09,50.51,49.49,-12.9,3.30E-10,7,2,12,11,45,81,25.5,50.34,158
3CZ8,90,90,120,84.965,84.965,188.041,319,-0.244,6.75,37.62,11.6,1.88,11.29,19.44,13.17,48.28,51.72,-16.1,1.60E-12,7,27,30,15,41,47,20.49,37.78,605
3D1Q,90,102.9,90,45.893,137.439,79.93,340,-0.694,9.01,32.65,10.88,2.65,19.41,18.53,10.29,43.53,56.47,-7,7.80E-06,10,4,15,2,4,22,33.49,39.18,596
3D3N,90,90,90,66.074,93.022,95.765,284,-0.13,6.94,40.85,9.51,2.82,11.97,18.31,11.62,45.77,54.23,-10.4,2.20E-08,3,3,14,2,15,39,16.08,42.69,417
3D45,90,90,90,58.013,128.35,176.844,507,-0.42,5.41,29.39,11.64,3.75,14.2,23.08,12.62,45.17,54.83,-12.3,9.50E-10,6,19,13,1,23,30,30.36,33.93,611
3D8B,90,90,90,85.43,85.43,197.58,357,-0.322,5.65,35.85,6.16,4.76,13.17,21.01,12.04,47.06,52.94,-10.7,1.40E-08,10,39,28,6,17,22,33.09,37.92,527
3DDH,90,90,90,36.119,104.222,121.212,234,-0.109,5.19,38.89,7.69,2.99,13.25,21.37,12.39,49.15,50.85,-12.1,1.40E-09,17,9,37,3,15,42,33.33,39.47,405
3DEM,90,90,90,88.692,110.232,190.587,278,-0.509,4.23,25.18,13.31,6.12,10.43,24.1,14.75,46.76,53.24,-9.6,9.80E-08,2,5,15,2,12,37,26.73,35.94,374
3DHX,90,90,120,53.277,53.277,150.495,106,-0.403,5.69,34.91,7.55,4.72,15.09,25.47,8.49,50,50,-11.3,4.90E-09,4,14,22,7,24,27,25.17,41.72,166
3DJB,90,90,90,66.273,66.273,101.736,223,-0.742,6.56,33.18,7.17,4.48,21.52,24.66,7.17,47.98,52.02,-10.8,1.30E-08,6,14,30,2,15,49,35.44,36.71,305
3DLJ,90,109.79,90,77.106,75.613,103.716,485,-0.144,4.82,38.35,8.66,3.3,12.37,20.82,10.72,47.84,52.16,-21.5,1.70E-16,31,66,79,23,50,94,31.92,41.21,835
3DR2,90,127.71,90,115.541,89.741,85.228,305,-0.352,5.9,38.36,7.87,3.61,12.46,18.36,11.15,41.64,58.36,-6.7,1.20E-05,5,7,18,5,9,23,27.21,47.3,549
3DSL,90,90,90,73.757,100.271,133.237,419,-0.434,4.9,29.36,9.31,11.22,11.93,23.63,9.31,44.87,55.13,-12,1.60E-09,4,9,13,3,23,20,27.71,34.39,582
3DUP,90,90,120,115.32,115.32,115.935,300,-0.25,6.85,41,7,3,16,19,8,46,54,-9,2.30E-07,23,7,27,1,6,24,31.38,46.05,534
3DYC,90,90,120,161.609,161.609,139.266,449,-0.359,5.63,41.65,5.12,2.67,11.36,20.71,13.81,36.3,63.7,-24.2,1.80E-18,27,49,65,33,75,112,31.3,37.6,904
3DYS,90,90,90,103.992,103.992,269.762,329,-0.25,5.04,28.57,10.64,9.42,13.68,23.1,9.12,52.89,47.11,-10.3,2.70E-08,5,12,15,2,18,15,33.33,35.76,690
3E0L,90,90,90,86.827,107.315,233.62,455,-0.174,5.44,35.6,9.67,3.96,12.97,20.44,14.07,45.27,54.73,-18,6.70E-14,29,24,44,11,36,53,36.31,32.77,920
3E2D,90,90,90,118.24,165.98,57.48,502,-0.509,5.35,35.66,8.37,2.59,12.95,23.9,12.75,40.24,59.76,-35.3,1.20E-26,9,46,79,24,114,131,37.81,28.32,1184
3E3H,90,91.74,90,128.797,90.596,69.145,336,0.104,7.63,44.05,7.44,2.08,11.9,15.18,15.18,44.64,55.36,-12.7,4.60E-10,11,10,34,8,27,35,28.78,44.12,696
3E4C,105.95,119.6,92.77,56.1,58.004,60.12,302,-0.343,6.1,30.79,7.62,5.96,13.58,20.86,15.56,44.04,55.96,-21.7,1.30E-16,39,31,85,9,27,27,34.25,32.6,462
3EA0,90,90,90,50.572,67.032,134.786,245,0.018,4.74,40.41,5.71,2.45,11.84,20.82,14.29,45.31,54.69,-9.7,7.60E-08,11,7,15,4,14,18,30.09,37.54,444
3EA7,90,104.04,90,51.799,96.646,67.458,306,-0.041,6.69,36.27,9.8,7.19,10.13,19.28,13.07,44.44,55.56,-16,1.80E-12,9,11,20,7,41,48,21.84,41.15,528
3EAJ,90,104.93,90,109.518,79.311,100.222,306,-0.044,6.69,36.6,9.48,7.19,10.13,19.28,13.07,44.44,55.56,-7,7.90E-06,4,6,8,6,8,6,21.28,42.11,516
3EAS,90,90,90,46.12,70.77,181.2,212,-0.347,9.33,45.28,6.13,0.47,18.4,18.87,5.19,57.08,42.92,-5,2.00E-04,2,2,18,0,4,84,39.37,44.76,363
3EB8,90,90,90,91.29,91.29,198.29,358,-0.217,5.91,32.68,8.1,3.35,11.45,22.63,16.76,41.62,58.38,-9.8,6.10E-08,10,8,19,1,5,10,25.1,34.41,586
3ECY,90,90,90,42.799,42.799,169.384,160,-0.096,5.81,43.13,7.5,3.13,14.38,19.38,8.13,43.75,56.25,-9.5,1.10E-07,9,4,37,0,12,75,31.91,50,167
3EDD,90,90,120,183.758,183.758,233.272,601,-0.523,6.77,35.44,11.15,3.99,13.64,20.97,8.82,45.09,54.91,-6.5,1.60E-05,7,8,10,6,8,6,29.8,40.65,1066
3EE6,90,90,90,113.45,128.93,100.5,571,-0.22,6.74,36.78,9.46,2.45,11.03,16.81,15.76,43.61,56.39,-7.8,2.00E-06,6,4,12,0,2,9,19.18,41.39,918
3EEF,90,90,120,83.97,83.97,98.725,182,-0.249,4.8,39.56,8.24,3.85,14.29,20.88,8.79,49.45,50.55,-8.4,7.00E-07,4,3,32,0,6,31,33.07,42.41,312
3EEI,90,109.22,90,128.359,40.897,83.612,233,0.22,5,48.07,6.44,3.86,12.02,17.6,10.3,44.64,55.36,-11.9,1.80E-09,24,4,33,6,21,49,34.06,45.29,441
3EEU,90,90,120,70.212,70.212,99.915,153,-0.616,7.8,37.91,7.84,2.61,20.26,21.57,5.23,50.98,49.02,-8.7,4.10E-07,5,10,14,4,18,35,38.19,38.19,201
3EGJ,90,90,90,77.001,77.001,282.549,381,-0.035,5.25,41.47,6.82,4.99,11.55,20.47,11.02,42.52,57.48,-5.3,1.30E-04,7,0,5,0,0,5,30.2,41,678
3EKW,90,90,90,51.245,58.483,61.326,99,0.149,9.35,46.46,5.05,4.04,12.12,17.17,8.08,50.51,49.49,-13.2,2.10E-10,7,3,12,11,45,81,25.5,48.99,180
3EL9,90,90,90,50.729,58.065,61.396,99,0.068,9.35,45.45,5.05,4.04,12.12,17.17,9.09,49.49,50.51,-13.7,9.60E-11,7,3,12,11,46,76,25.5,47.65,157
3EM6,90,90,90,51.14,57.891,61.364,99,0.137,9.35,46.46,5.05,4.04,12.12,17.17,8.08,51.52,48.48,-13.2,1.90E-10,7,3,12,11,46,78,25.33,50,163
3ENP,90,90,120,93.521,93.521,87.155,177,-0.027,6.79,39.55,5.08,3.95,12.99,22.6,12.99,50.28,49.72,-8.8,3.80E-07,5,1,17,2,8,16,30.71,35.04,282
3EOQ,90,90,90,70.34,94.202,134.454,406,-0.245,5.1,42.36,10.59,2.22,14.29,19.46,6.65,52.22,47.78,-10.5,2.00E-08,10,11,13,1,25,16,36.05,43.85,719
3EPX,90,98.36,90,54.422,74.198,73.553,338,-0.097,4.79,36.69,8.58,7.1,11.24,21.6,9.76,45.27,54.73,-11.3,4.80E-09,7,18,23,5,21,31,32.38,36.79,592
3ERJ,90,90,90,43.903,46.925,105.263,123,-0.141,10.13,46.34,1.63,0.81,21.95,16.26,9.76,48.78,51.22,-7.5,3.30E-06,7,3,18,0,10,43,40.99,40.37,212
3EWO,78.02,80.06,73.57,41.139,43.201,48.94,177,0.183,7.72,42.37,9.6,5.65,14.12,16.38,7.91,43.5,56.5,-6.8,1.10E-05,7,3,18,0,5,24,30.24,45.97,292
3EXU,90,94.2,90,43.91,51.88,84.73,185,-0.599,9.03,31.35,16.76,1.08,7.03,17.3,23.24,35.14,64.86,-10.6,1.80E-08,1,3,8,14,19,14,12.16,32.94,358
3F13,73.47,74.06,62.66,40.95,43.877,55.967,163,-0.54,9.47,39.26,4.91,3.07,20.25,20.25,7.98,50.92,49.08,-8.4,7.10E-07,2,3,10,3,21,35,36.87,41.94,262
3F41,90,93.71,90,74.391,73.304,161.31,629,-0.634,9.27,31.32,10.81,3.97,17.17,21.62,10.33,42.77,57.23,-14.3,3.20E-11,21,4,33,5,23,32,31.29,36.57,1106
3F4A,90,103.6,90,74.382,72.025,53.514,169,-0.696,7.82,31.36,10.65,4.73,18.93,18.34,13.02,50.3,49.7,-9.4,1.30E-07,5,9,9,2,12,7,32.71,30.84,286
3F4C,90,116.49,90,47.212,156.761,49.99,332,-0.267,6.19,38.55,9.34,4.52,15.06,19.28,8.13,46.08,53.92,-12.4,8.00E-10,16,7,40,3,19,66,32.55,44.34,636
3F5L,90,90,90,79.624,100.804,127.631,481,-0.426,9.23,34.72,14.97,2.91,12.47,20.17,9.98,43.04,56.96,-8.1,1.20E-06,9,16,8,3,6,1,25.17,36.39,1010
3F6A,90,90,90,41.076,62.614,120.273,159,-0.282,6.63,35.85,5.66,3.77,18.87,20.75,11.32,44.65,55.35,-13.1,2.30E-10,9,14,37,11,27,41,31.6,37.23,223
3F81,90,98.36,90,50.406,59.186,60.656,183,-0.317,7.94,37.16,7.65,4.37,12.57,23.5,10.93,45.9,54.1,-7.1,6.30E-06,2,5,11,4,2,2,29.51,30.74,369
3F8G,90,90,90,45.855,78.256,80.695,125,-0.706,8.71,20.8,7.2,12,17.6,19.2,17.6,44,56,-7.4,3.50E-06,0,2,2,0,2,10,25.96,29.81,212
3F9G,90,90,90,61.248,67.957,149.286,303,-0.065,6.69,35.97,9.24,7.26,10.23,19.14,13.86,44.55,55.45,-12.5,6.70E-10,8,7,19,4,23,34,22.04,40.05,485
3F9H,90,90,90,61.111,68.144,148.903,308,-0.056,6.69,36.04,9.42,7.14,10.06,19.16,13.96,44.48,55.52,-14.5,2.30E-11,8,10,25,10,35,38,22.33,40.62,490
3FCM,90,90,90,80.395,132.459,41.361,197,-0.645,6.56,28.93,8.63,4.06,19.29,24.87,11.17,44.67,55.33,-7.3,4.60E-06,5,8,9,5,9,10,33.09,34.94,325
3FCX,90,108.84,90,51.542,70.724,65.014,282,-0.312,6.83,33.33,12.41,4.96,13.12,18.79,11.7,40.43,59.57,-7.9,1.50E-06,14,18,11,6,5,6,28.24,34.71,531
3FD7,90,90,90,45.46,51.19,87.69,104,-0.417,9.09,25.96,9.62,6.73,17.31,19.23,17.31,37.5,62.5,-8.2,9.80E-07,2,8,8,6,10,2,28.24,31.76,199
3FDG,82.42,73.61,68.18,46.246,50.683,81.594,355,-0.2,6.42,40.56,7.04,5.63,14.93,16.9,8.73,43.66,56.34,-6.9,8.90E-06,12,2,12,2,9,21,34.3,44.44,680
3FJY,90,90,90,78.673,90.034,124.195,364,-0.441,6.86,34.89,6.59,4.12,16.48,19.23,13.19,45.05,54.95,-9,2.60E-07,7,5,16,1,10,27,28.76,39.24,626
3FK9,90,90,90,54.345,59.084,108.357,188,-0.479,6.59,32.45,9.04,4.26,18.62,19.68,11.17,47.34,52.66,-9.1,2.20E-07,12,10,19,4,14,35,41.44,35.14,244
3FL1,90,96.33,90,37.53,65.13,55.27,124,-0.553,8.09,23.39,7.26,11.29,13.71,20.97,19.35,40.32,59.68,-12.6,5.80E-10,16,20,28,8,11,30,23,29,202
3FLD,90,90,90,40.8,139.751,126.54,153,-0.435,10.29,45.75,6.54,1.31,13.07,19.61,7.84,41.18,58.82,-15.3,6.00E-12,11,12,46,4,34,114,32.17,46.96,247
3FNB,90,93.86,90,68.832,56.468,99.901,405,-0.276,5.34,35.31,12.35,3.7,13.09,23.21,9.63,45.43,54.57,-14.6,1.80E-11,19,14,33,9,30,28,33.4,36.57,704
3FNS,90,90,90,89.8,89.8,198.7,332,-0.19,4.72,32.53,12.95,2.41,10.84,21.08,15.36,41.27,58.73,-14.9,1.20E-11,11,12,17,4,35,57,30.58,35.94,518
3FRY,90,104.89,90,40.131,35.989,51.262,73,-0.201,6.51,46.58,4.11,2.74,17.81,20.55,8.22,46.58,53.42,-13.3,1.60E-10,11,13,44,9,27,79,36.8,39.2,108
3FSE,90,93.04,90,137.36,39.69,123.06,365,-0.323,5.57,40.55,6.58,3.56,12.88,21.37,11.78,44.66,55.34,-10.9,1.00E-08,12,33,44,12,16,5,33.54,38.65,660
3FVQ,90,90,90,55.861,89.095,149.014,359,-0.151,7.32,43.18,5.01,1.95,14.21,17.55,11.98,44.85,55.15,-29.1,4.60E-22,18,28,54,6,83,142,24.71,43.87,589
3FZQ,90,96.97,90,49.232,55.737,116.778,274,-0.45,6.85,33.94,7.66,5.47,16.06,27.37,9.12,52.92,47.08,-12.3,9.30E-10,12,24,13,5,22,4,37.17,26.47,535
3G02,90,104.79,90,61.866,89.675,75.344,408,-0.201,6.05,33.58,12.75,2.7,12.75,16.18,13.97,41.67,58.33,-21,4.00E-16,19,24,61,16,54,43,31.6,40.69,809
3G0I,90,105.31,90,62.985,89.655,75.812,394,-0.089,5.04,35.03,12.18,3.05,11.17,15.99,14.47,42.64,57.36,-20.4,1.10E-15,18,24,59,16,54,42,32.14,41.86,754
3G23,90,90,90,43.628,91.042,145.744,274,0.112,6.12,46.35,7.66,4.74,13.14,14.6,9.12,44.16,55.84,-9.4,1.40E-07,13,6,33,2,10,23,29.2,47.93,490
3G45,90,90,120,95.004,95.004,93.714,421,-0.396,5.69,30.4,7.36,5.94,14.49,24.47,14.73,46.79,53.21,-9.4,1.30E-07,19,18,11,2,6,3,30.93,32.96,770
3G4H,90,100.11,90,64.365,52.019,85.832,297,-0.315,6.14,35.69,10.1,5.05,13.13,20.2,11.45,45.79,54.21,-7.7,2.10E-06,7,6,14,0,6,1,33.41,37.53,535
3G72,90,90,90,64.788,87.525,116.986,340,-0.043,5.15,36.18,11.47,4.12,9.12,16.76,18.53,42.65,57.35,-9.4,1.20E-07,6,8,13,2,10,22,22.89,38.01,577
3GFF,90,117.94,90,53.65,125.57,56.75,331,-0.346,6.81,35.05,10.57,2.42,13.6,20.85,12.99,47.13,52.87,-8,1.40E-06,5,12,12,5,10,9,27.73,37.99,617
3GG1,90,90,90,68.85,96.69,127.04,413,0.071,5.46,40.92,8.72,4.6,11.86,17.68,10.65,50.36,49.64,-17.8,8.90E-14,29,23,50,16,44,45,27.95,47.55,696
3GH3,90,90,90,47.483,80.879,151.79,247,-0.561,8.55,29.15,10.12,5.67,15.38,20.24,14.98,46.96,53.04,-9.9,5.50E-08,7,20,14,5,12,10,33.9,27.68,452
3GIU,90,90,90,42.79,81,119.91,215,-0.117,5.18,40,6.98,1.86,10.7,22.33,11.16,39.07,60.93,-13.7,8.50E-11,16,16,42,13,25,27,23,42.16,471
3GOC,90,121.61,90,123.742,40.563,107.422,237,0.022,6.28,46.41,5.06,2.11,13.92,13.5,10.13,42.62,57.38,-5.4,1.10E-04,3,3,17,0,8,14,30.67,53.99,382
3GRN,99.98,100.43,117.57,39.397,42.437,55.599,153,-0.44,6.16,35.29,11.11,1.96,17.65,20.92,9.15,48.37,51.63,-8.7,4.10E-07,17,15,16,2,10,6,37.9,37.9,245
3GRO,90,90,90,53.71,90.642,129.165,298,-0.265,6.72,35.57,9.4,5.03,14.43,21.48,8.72,47.32,52.68,-7.8,2.00E-06,13,12,14,0,3,14,26.74,41.65,488
3GW7,90,90,120,99.408,99.408,130.629,239,-0.341,6.55,38.49,7.53,2.93,18.41,23.01,7.11,43.51,56.49,-10.2,3.20E-08,12,14,38,4,8,49,27.27,42.42,265
3GWB,90,96.39,90,119.673,64.841,114.972,434,-0.169,6.66,42.86,6.68,3.23,12.44,19.35,10.14,40.55,59.45,-6.6,1.40E-05,7,15,16,14,16,21,26.13,47.43,659
3GWY,90,90,90,62.138,62.275,59.777,140,-0.394,6.28,34.29,9.29,5,18.57,20.71,9.29,55.71,44.29,-8.6,4.70E-07,9,8,20,0,7,21,35.9,36.41,201
3GXH,90,90,90,57.303,57.528,92.364,157,-0.385,4.7,36.94,8.92,3.82,9.55,27.39,7.64,47.77,52.23,-10.3,2.80E-08,4,24,16,1,14,2,22.13,40.43,309
3GZA,90,103.55,90,117.052,81.532,111.572,443,-0.589,7.3,33.86,10.61,3.61,15.12,22.8,8.58,46.28,53.72,-11.8,2.20E-09,19,4,30,2,11,32,33.89,34.06,850
